# Code: cgiSensePlot.c v4.0 (sll - 13 February 2009 Build)
# from WWW Sensitivity Curve Generator located at:
#   http://www.srl.caltech.edu/~shane/sensitivity/MakeCurve.html
# EQUAL ARM Space Based Observatory Sensitivity Curve
# Polarization and All Sky Averaged
# 
# For this data file:
# SNR = 1.000000 
# Armlength = 2.500000e+09 	meters
# Optics diameter = 0.300000 	meters
# Wavelength = 1064.000000 	nanometers
# Laser power = 1.000000 Watts
# Optical train efficiency = 0.300000 
# Accleration noise = 3.000000e-15 m/(s^2 root Hz)
# Position noise = 1.000000e-11 m/(root Hz)
# Sensitivity Floor Set by Laser Shot Noise
# Output Curve type is Root Spectral Density, per root Hz
# Astrophysical Noise is Merged Instrumental + White Dwarf Noise
#
#
#
# f [Hz] 	 hf [Hz^(-1/2)]
2.463810e-01    5.654059e-20
2.520736e-01    5.262762e-20
2.578977e-01    4.897174e-20
2.638563e-01    4.690966e-20
2.699528e-01    4.694121e-20
2.761901e-01    4.938416e-20
2.825713e-01    5.459737e-20
2.891002e-01    6.251040e-20
2.957797e-01    7.070857e-20
3.026138e-01    7.327020e-20
3.096055e-01    6.842783e-20
3.167591e-01    6.195032e-20
3.240778e-01    5.814855e-20
3.315655e-01    5.830653e-20
3.392262e-01    6.299360e-20
3.470640e-01    7.251078e-20
3.550829e-01    8.377422e-20
3.632872e-01    8.634639e-20
3.716807e-01    7.808219e-20
3.802684e-01    7.001446e-20
3.854081e-01    6.784920e-20
3.906171e-01    6.799572e-20
3.958964e-01    7.064629e-20
4.012470e-01    7.601872e-20
4.066701e-01    8.408691e-20
4.121665e-01    9.363697e-20
4.177372e-01    1.009075e-19
4.233830e-01    1.012556e-19
4.291054e-01    9.506582e-20
4.349049e-01    8.721850e-20
4.407828e-01    8.134225e-20
4.467403e-01    7.874825e-20
4.527781e-01    7.982369e-20
4.588977e-01    8.486244e-20
4.650998e-01    9.400788e-20
4.713860e-01    1.059014e-19
4.777571e-01    1.149761e-19
4.842140e-01    1.139492e-19
4.907586e-01    1.046765e-19
4.973914e-01    9.508205e-20
5.041138e-01    8.948930e-20
5.109273e-01    8.903273e-20
5.178326e-01    9.416391e-20
5.248314e-01    1.052229e-19
5.319248e-01    1.203652e-19
5.391141e-01    1.305839e-19
5.464003e-01    1.257904e-19
5.537852e-01    1.128067e-19
5.612699e-01    1.028038e-19
5.688558e-01    9.962990e-20
5.743108e-01    1.019896e-19
5.798181e-01    1.084360e-19
5.853782e-01    1.189469e-19
5.909916e-01    1.320399e-19
5.966588e-01    1.427189e-19
6.023804e-01    1.439997e-19
6.081570e-01    1.354012e-19
6.139889e-01    1.237363e-19
6.198766e-01    1.145764e-19
6.258209e-01    1.099616e-19
6.318221e-01    1.103943e-19
6.378809e-01    1.161739e-19
6.439978e-01    1.275082e-19
6.501735e-01    1.431135e-19
6.564081e-01    1.568438e-19
6.627026e-01    1.585471e-19
6.690577e-01    1.474379e-19
6.754734e-01    1.335091e-19
6.819508e-01    1.238537e-19
6.884904e-01    1.205511e-19
6.950926e-01    1.240804e-19
7.017582e-01    1.348081e-19
7.084875e-01    1.519788e-19
7.152815e-01    1.692277e-19
7.221406e-01    1.728143e-19
7.290655e-01    1.597261e-19
7.360569e-01    1.433129e-19
7.431153e-01    1.328661e-19
7.502412e-01    1.307275e-19
7.574356e-01    1.374570e-19
7.630694e-01    1.490633e-19
7.687452e-01    1.653335e-19
7.744634e-01    1.816353e-19
